,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,1.0,0.0,[1. 1. 1. 1. 1.],"(13691,)","('PAQR4',)",0.0,0.0
2,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 13691)","('ELMO2', 'PAQR4')",0.0,0.0
3,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 13691)","('ELMO2', 'RPS11', 'PAQR4')",0.0,0.0
4,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'PAQR4')",0.0,0.0
5,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 9, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'RXFP3', 'PAQR4')",0.0,0.0
6,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 9, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'RXFP3', 'PAQR4')",0.0,0.0
7,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 9, 14, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'RXFP3', 'PDCL3', 'PAQR4')",0.0,0.0
8,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 9, 14, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'RXFP3', 'PDCL3', 'PAQR4')",0.0,0.0
9,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 8, 9, 14, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'GPR98', 'RXFP3', 'PDCL3', 'PAQR4')",0.0,0.0
10,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 14, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PDCL3', 'PAQR4')",0.0,0.0
11,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 14, 28, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PDCL3', 'DDB1', 'PAQR4')",0.0,0.0
12,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 11, 14, 28, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'PDCL3', 'DDB1', 'PAQR4')",0.0,0.0
13,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 11, 14, 28, 122, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'PDCL3', 'DDB1', 'ZDHHC6', 'PAQR4')",0.0,0.0
14,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 11, 14, 28, 30, 122, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'PDCL3', 'DDB1', 'MMP7', 'ZDHHC6', 'PAQR4')",0.0,0.0
15,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 3, 5, 6, 7, 8, 9, 11, 14, 28, 30, 31, 122, 13691)","('ELMO2', 'RPS11', 'PNMA1', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'PDCL3', 'DDB1', 'MMP7', 'CRNKL1', 'ZDHHC6', 'PAQR4')",0.0,0.0
