,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,0.9944444444444445,0.014281010203415224,[0.97222222 1.         1.         1.         1.        ],"(4174,)","('KLHL29',)",0.011111111111111117,0.0055555555555555575
2,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 4174)","('ELMO2', 'KLHL29')",0.0,0.0
3,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 4174)","('ELMO2', 'RPS11', 'KLHL29')",0.0,0.0
4,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'KLHL29')",0.0,0.0
5,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'KLHL29')",0.0,0.0
6,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'KLHL29')",0.0,0.0
7,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'KLHL29')",0.0,0.0
8,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 7, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ERCC5', 'KLHL29')",0.0,0.0
9,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 7, 9, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ERCC5', 'RXFP3', 'KLHL29')",0.0,0.0
10,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 1, 2, 3, 4, 5, 7, 9, 10, 4174)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ERCC5', 'RXFP3', 'APBB2', 'KLHL29')",0.0,0.0
