,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,1.0,0.0,[1. 1. 1.],"(16761,)","('FLVCR1',)",0.0,0.0
2,1.0,0.0,[1. 1. 1.],"(0, 16761)","('ELMO2', 'FLVCR1')",0.0,0.0
3,1.0,0.0,[1. 1. 1.],"(0, 1, 16761)","('ELMO2', 'CREB3L1', 'FLVCR1')",0.0,0.0
4,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'FLVCR1')",0.0,0.0
5,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'FLVCR1')",0.0,0.0
6,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'FLVCR1')",0.0,0.0
7,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 5, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'FLVCR1')",0.0,0.0
8,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'FLVCR1')",0.0,0.0
9,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'FLVCR1')",0.0,0.0
10,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'FLVCR1')",0.0,0.0
11,1.0,0.0,[1. 1. 1.],"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16761)","('ELMO2', 'CREB3L1', 'RPS11', 'PNMA1', 'MMP2', 'C10orf90', 'ZHX3', 'ERCC5', 'GPR98', 'RXFP3', 'FLVCR1')",0.0,0.0
